,Name,val
0,Gayang,0.08967648
1,Hongjecheon Stream,0.10934867
2,Tancheon Stream 5,0.0927335
3,Cheonggyecheon Stream 3,0.19571349
4,Cheonggyecheon Stream 2,0.14410152
5,Cheonggyecheon Stream 1,0.2066192
6,Jungnangcheon Stream 3,0.14289963
7,Jungnangcheon Stream 2,0.19083415
8,Jungnangcheon Stream 1A,0.00816192
9,Jeongneungcheon Stream,0.23437658
10,Uicheon Stream,0.19827303
11,Jungnangcheon Stream 4,0.13699393
12,Amsa,0.08871091
13,Ahnyangcheon Stream 5,0.11173022
14,Ahnyangcheon Stream 4,0.09841859
15,Seongbukcheon Stream,0.14503036
16,Seongnaecheon Stream,0.11764073
17,Mokgamcheon Stream,0.09822278
18,Dorimcheon Stream,0.1596774
19,Noryangjin,0.10146895
20,GoDeokcheon Stream,0.11822497
21,Yangjaecheon Stream,0.12640938
22,Yeongdeungpo,0.11698382
23,Ttukdo,0.08614352
24,Guui,0.08502702
25,Bogwang,0.10824676
26,Jamsil,0.08825942
27,Mangwolcheon Stream,0.0078586
28,Choicheon Stream,0.00424171
29,Gamicheon Stream,0.00825636
30,Mokgamcheon Stream-1,0.00468336
31,Ahnyangcheon Stream 3-2,0.0043394
