,Name,val
0,Gayang,0.08790767
1,Hongjecheon Stream,0.10834786
2,Tancheon Stream 5,0.09771905
3,Cheonggyecheon Stream 3,0.19673349
4,Cheonggyecheon Stream 2,0.14902873
5,Cheonggyecheon Stream 1,0.20573743
6,Jungnangcheon Stream 3,0.1471243
7,Jungnangcheon Stream 2,0.19610985
8,Jungnangcheon Stream 1A,0.00393301
9,Jeongneungcheon Stream,0.2223143
10,Uicheon Stream,0.19861916
11,Jungnangcheon Stream 4,0.1394016
12,Amsa,0.08756781
13,Ahnyangcheon Stream 5,0.11293884
14,Ahnyangcheon Stream 4,0.09417326
15,Seongbukcheon Stream,0.14580965
16,Seongnaecheon Stream,0.11863231
17,Mokgamcheon Stream,0.09593436
18,Dorimcheon Stream,0.16449475
19,Noryangjin,0.09330773
20,GoDeokcheon Stream,0.1203533
21,Yangjaecheon Stream,0.12296481
22,Yeongdeungpo,0.11410394
23,Ttukdo,0.08597548
24,Guui,0.08065788
25,Bogwang,0.10878021
26,Jamsil,0.08344647
27,Mangwolcheon Stream,0.00346008
28,Choicheon Stream,0.00296325
29,Gamicheon Stream,0.00385458
30,Mokgamcheon Stream-1,0.0023202
31,Ahnyangcheon Stream 3-2,0.00208003
