,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-1.0,-1.0,5.373830955937814e-16,-1.4530900699733642e-16,-1.0,-1.0,3.524628545170864e-15,6.31424056691847e-16,1.0,1.0
NO3-N(㎎/L),-1.0,1.0,1.0,-5.373830955937814e-16,1.4530900699733642e-16,1.0,1.0,-3.524628545170864e-15,-6.31424056691847e-16,-1.0,-1.0
PO4-P(㎎/L),-1.0,1.0,1.0,-5.373830955937814e-16,1.4530900699733642e-16,1.0,1.0,-3.524628545170864e-15,-6.31424056691847e-16,-1.0,-1.0
T-N(㎎/L),5.373830955937814e-16,-5.373830955937814e-16,-5.373830955937814e-16,1.0,-0.266228745284521,-5.373830955937814e-16,-5.373830955937814e-16,0.1990985595602343,0.6903700058743085,5.373830955937814e-16,5.373830955937814e-16
T-P(㎎/L),-1.4530900699733642e-16,1.4530900699733642e-16,1.4530900699733642e-16,-0.266228745284521,1.0,1.4530900699733642e-16,1.4530900699733642e-16,-0.4084500441134302,-0.40524671018630365,-1.4530900699733642e-16,-1.4530900699733642e-16
Dissolved Total N(㎎/L),-1.0,1.0,1.0,-5.373830955937814e-16,1.4530900699733642e-16,1.0,1.0,-3.524628545170864e-15,-6.31424056691847e-16,-1.0,-1.0
Dissolved Total P(㎎/L),-1.0,1.0,1.0,-5.373830955937814e-16,1.4530900699733642e-16,1.0,1.0,-3.524628545170864e-15,-6.31424056691847e-16,-1.0,-1.0
Hydrogen ion conc.,3.524628545170864e-15,-3.524628545170864e-15,-3.524628545170864e-15,0.1990985595602343,-0.4084500441134302,-3.524628545170864e-15,-3.524628545170864e-15,1.0,0.5792866260663495,3.524628545170864e-15,3.524628545170864e-15
DO (㎎/L),6.31424056691847e-16,-6.31424056691847e-16,-6.31424056691847e-16,0.6903700058743085,-0.40524671018630365,-6.31424056691847e-16,-6.31424056691847e-16,0.5792866260663495,1.0,6.31424056691847e-16,6.31424056691847e-16
TSI(Chl-a),1.0,-1.0,-1.0,5.373830955937814e-16,-1.4530900699733642e-16,-1.0,-1.0,3.524628545170864e-15,6.31424056691847e-16,1.0,1.0
Predict,1.0,-1.0,-1.0,5.373830955937814e-16,-1.4530900699733642e-16,-1.0,-1.0,3.524628545170864e-15,6.31424056691847e-16,1.0,1.0
