,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-0.6289898547292773,-0.2378461388193876,0.9440857529068033,0.05469287197197621,0.9439399028399054,-0.19263180338309777,-0.10300433101560498,0.3818879472910329,0.1457418324444002,0.22124064354507259
NO3-N(㎎/L),-0.6289898547292773,1.0,0.19533236973210077,-0.4130833935788147,-0.06103548528803397,-0.3954252818015139,0.16907786756192528,0.26144172234647023,0.15794043144009204,-0.06250525062151,-0.1643120210799209
PO4-P(㎎/L),-0.2378461388193876,0.19533236973210077,1.0,-0.22863622265985312,0.7279085224239161,-0.22938660065949176,0.9870914863027058,-0.1686120351378808,-0.08352264614991717,-0.20229212411365868,-0.28019606031239613
T-N(㎎/L),0.9440857529068033,-0.4130833935788147,-0.22863622265985312,1.0,0.04034184686321187,0.9953719775122697,-0.17674630973660893,-0.010751305228183681,0.4695281438169207,0.12389490844305284,0.2320445626167414
T-P(㎎/L),0.05469287197197621,-0.06103548528803397,0.7279085224239161,0.04034184686321187,1.0,0.017165180462106626,0.771842570629824,-0.11869946887406246,-0.050946692018400686,-0.13723108229055528,-0.1695655637047292
Dissolved Total N(㎎/L),0.9439399028399054,-0.3954252818015139,-0.22938660065949176,0.9953719775122697,0.017165180462106626,1.0,-0.17775600349378876,0.007849437853482428,0.49585565197471754,0.12981242649600513,0.23405842598190862
Dissolved Total P(㎎/L),-0.19263180338309777,0.16907786756192528,0.9870914863027058,-0.17674630973660893,0.771842570629824,-0.17775600349378876,1.0,-0.16036619050882694,-0.05161579300070188,-0.17693193729690007,-0.2736494991887673
Hydrogen ion conc.,-0.10300433101560498,0.26144172234647023,-0.1686120351378808,-0.010751305228183681,-0.11869946887406246,0.007849437853482428,-0.16036619050882694,1.0,0.389539849331646,0.053434212821631015,0.017190378839803042
DO (㎎/L),0.3818879472910329,0.15794043144009204,-0.08352264614991717,0.4695281438169207,-0.050946692018400686,0.49585565197471754,-0.05161579300070188,0.389539849331646,1.0,-0.057242716721843584,0.1558596542206846
TSI(Chl-a),0.1457418324444002,-0.06250525062151,-0.20229212411365868,0.12389490844305284,-0.13723108229055528,0.12981242649600513,-0.17693193729690007,0.053434212821631015,-0.057242716721843584,1.0,0.041944530011079444
Predict,0.22124064354507259,-0.1643120210799209,-0.28019606031239613,0.2320445626167414,-0.1695655637047292,0.23405842598190862,-0.2736494991887673,0.017190378839803042,0.1558596542206846,0.041944530011079444,1.0
