,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,0.20343014755711267,-0.04308088042348631,0.27866621286273957,-0.028112348017508323,0.28306670063860506,-0.04382624444046218,-0.10479428784064838,0.3924061305091325,-0.02056996687973932,-0.005042791413687568
NO3-N(㎎/L),0.20343014755711267,1.0,-0.08197263109817299,0.6883617667902983,0.008837778204174907,0.7106357433111955,-0.06377403379700461,-0.18593449440763102,0.42577157834806345,-0.09534032478141888,0.14925405264614242
PO4-P(㎎/L),-0.04308088042348631,-0.08197263109817299,1.0,0.024233507585411842,0.794295306612854,-0.003593329015065517,0.8715424990208781,-0.017199044691729767,-0.07801991853628448,0.0058855533029650645,0.030768170124850936
T-N(㎎/L),0.27866621286273957,0.6883617667902983,0.024233507585411842,1.0,0.05820967341501364,0.9875446031047698,0.02060796845555009,-0.1346637578496469,0.4838367494652894,-0.026321513234272342,0.17790071847689476
T-P(㎎/L),-0.028112348017508323,0.008837778204174907,0.794295306612854,0.05820967341501364,1.0,0.030543722961362672,0.8739707869917216,0.010078191094534658,-0.13036523246158813,0.12840809427808508,-0.07815311820530269
Dissolved Total N(㎎/L),0.28306670063860506,0.7106357433111955,-0.003593329015065517,0.9875446031047698,0.030543722961362672,1.0,-0.0013216736283984275,-0.14223681504752878,0.4848877646824926,-0.04021830124927038,0.17863451822164608
Dissolved Total P(㎎/L),-0.04382624444046218,-0.06377403379700461,0.8715424990208781,0.02060796845555009,0.8739707869917216,-0.0013216736283984275,1.0,0.03592684586781448,-0.09643489946193427,0.05380869704227604,-0.0341932188919299
Hydrogen ion conc.,-0.10479428784064838,-0.18593449440763102,-0.017199044691729767,-0.1346637578496469,0.010078191094534658,-0.14223681504752878,0.03592684586781448,1.0,0.07542300388507873,0.2694982666288385,-0.10804329109064333
DO (㎎/L),0.3924061305091325,0.42577157834806345,-0.07801991853628448,0.4838367494652894,-0.13036523246158813,0.4848877646824926,-0.09643489946193427,0.07542300388507873,1.0,-0.034308334379328606,0.15570043528543945
TSI(Chl-a),-0.02056996687973932,-0.09534032478141888,0.0058855533029650645,-0.026321513234272342,0.12840809427808508,-0.04021830124927038,0.05380869704227604,0.2694982666288385,-0.034308334379328606,1.0,-0.0636559509152399
Predict,-0.005042791413687568,0.14925405264614242,0.030768170124850936,0.17790071847689476,-0.07815311820530269,0.17863451822164608,-0.0341932188919299,-0.10804329109064333,0.15570043528543945,-0.0636559509152399,1.0
