,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,0.5076871482169938,0.5278690911659119,0.8167712787859962,0.5724168444131312,0.8077937439201072,0.5552358673201448,-0.3060768434522099,0.03740831861129719,0.13674980614073765,0.08333142891697388
NO3-N(㎎/L),0.5076871482169938,1.0,0.22782173413749254,0.8482006428283274,0.25038126011805145,0.8584756843269462,0.217489906756841,-0.14863966157376746,0.009177259157932991,-0.08335869980802282,0.11800372948806795
PO4-P(㎎/L),0.5278690911659119,0.22782173413749254,1.0,0.3615698103005642,0.9468428335318015,0.3777835314262756,0.9850307755490553,-0.24637505118287162,-0.2568965576057459,0.005332413582449333,0.0016736377188180834
T-N(㎎/L),0.8167712787859962,0.8482006428283274,0.3615698103005642,1.0,0.40647415627542866,0.9961114198244092,0.36475260019925626,-0.22472816595552,0.08240240604471169,0.009860662210109714,0.1166613356632645
T-P(㎎/L),0.5724168444131312,0.25038126011805145,0.9468428335318015,0.40647415627542866,1.0,0.4151448508883094,0.9637057859924634,-0.2313251649931086,-0.24456271569895774,0.05080941594240602,-0.004136371078852091
Dissolved Total N(㎎/L),0.8077937439201072,0.8584756843269462,0.3777835314262756,0.9961114198244092,0.4151448508883094,1.0,0.38093335226691577,-0.23055703524843452,0.07036487823001687,-0.01814492951080624,0.11306330727313141
Dissolved Total P(㎎/L),0.5552358673201448,0.217489906756841,0.9850307755490553,0.36475260019925626,0.9637057859924634,0.38093335226691577,1.0,-0.2150191876447836,-0.25264754179639576,-0.008755068073295515,-0.011577047085488566
Hydrogen ion conc.,-0.3060768434522099,-0.14863966157376746,-0.24637505118287162,-0.22472816595552,-0.2313251649931086,-0.23055703524843452,-0.2150191876447836,1.0,0.19087205736952909,0.3030516312235105,0.10107141159954586
DO (㎎/L),0.03740831861129719,0.009177259157932991,-0.2568965576057459,0.08240240604471169,-0.24456271569895774,0.07036487823001687,-0.25264754179639576,0.19087205736952909,1.0,0.03745755935217873,0.1486294473554007
TSI(Chl-a),0.13674980614073765,-0.08335869980802282,0.005332413582449333,0.009860662210109714,0.05080941594240602,-0.01814492951080624,-0.008755068073295515,0.3030516312235105,0.03745755935217873,1.0,0.07741112617296055
Predict,0.08333142891697388,0.11800372948806795,0.0016736377188180834,0.1166613356632645,-0.004136371078852091,0.11306330727313141,-0.011577047085488566,0.10107141159954586,0.1486294473554007,0.07741112617296055,1.0
