,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-0.33297074733120563,0.23982947118141637,0.13822996824631628,0.11143068775129808,0.1521144379116084,0.16379981320127196,-0.12203932812123035,-0.3377715766575597,-0.023969373696104444,-0.11766542311411388
NO3-N(㎎/L),-0.33297074733120563,1.0,-0.11510854836352967,0.5906414503793462,-0.03888038832201723,0.5901922822632589,-0.017652980565383638,-0.07895787408934027,0.4120492637651616,-0.37341676939509566,0.3196530265922999
PO4-P(㎎/L),0.23982947118141637,-0.11510854836352967,1.0,0.040985908336951274,0.6402702241005677,0.031838683398820046,0.7859153691194747,0.00262676670926833,-0.38544747570106436,0.23872054857639843,-0.32305783202193344
T-N(㎎/L),0.13822996824631628,0.5906414503793462,0.040985908336951274,1.0,0.11332842277851317,0.970865737690286,0.18981013714886344,-0.1641039829841404,0.22397789600086232,-0.30162231837436543,0.1444252963193387
T-P(㎎/L),0.11143068775129808,-0.03888038832201723,0.6402702241005677,0.11332842277851317,1.0,0.07383803903612289,0.9071535380991466,0.06609476057101393,-0.41115843535822916,0.13973708514406724,-0.1899107958892531
Dissolved Total N(㎎/L),0.1521144379116084,0.5901922822632589,0.031838683398820046,0.970865737690286,0.07383803903612289,1.0,0.1596912896451252,-0.15941756368278284,0.23861067341860837,-0.30741276676467505,0.10442901045525106
Dissolved Total P(㎎/L),0.16379981320127196,-0.017652980565383638,0.7859153691194747,0.18981013714886344,0.9071535380991466,0.1596912896451252,1.0,-0.005132883292782995,-0.39534230701737183,0.09199164907041857,-0.2015465799005384
Hydrogen ion conc.,-0.12203932812123035,-0.07895787408934027,0.00262676670926833,-0.1641039829841404,0.06609476057101393,-0.15941756368278284,-0.005132883292782995,1.0,0.08349246297341607,0.23917095620290174,0.05486883630707328
DO (㎎/L),-0.3377715766575597,0.4120492637651616,-0.38544747570106436,0.22397789600086232,-0.41115843535822916,0.23861067341860837,-0.39534230701737183,0.08349246297341607,1.0,-0.2652710881674649,0.33871907238040616
TSI(Chl-a),-0.023969373696104444,-0.37341676939509566,0.23872054857639843,-0.30162231837436543,0.13973708514406724,-0.30741276676467505,0.09199164907041857,0.23917095620290174,-0.2652710881674649,1.0,-0.22540498069993656
Predict,-0.11766542311411388,0.3196530265922999,-0.32305783202193344,0.1444252963193387,-0.1899107958892531,0.10442901045525106,-0.2015465799005384,0.05486883630707328,0.33871907238040616,-0.22540498069993656,1.0
