,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-1.0,-1.0,-4.117938252129499e-16,1.0753647717499992e-16,-1.0,-1.0,-1.9546595209782114e-15,-8.294599701051425e-17,1.0,1.0
NO3-N(㎎/L),-1.0,1.0,1.0,4.117938252129499e-16,-1.0753647717499992e-16,1.0,1.0,1.9546595209782114e-15,8.294599701051425e-17,-1.0,-1.0
PO4-P(㎎/L),-1.0,1.0,1.0,4.117938252129499e-16,-1.0753647717499992e-16,1.0,1.0,1.9546595209782114e-15,8.294599701051425e-17,-1.0,-1.0
T-N(㎎/L),-4.117938252129499e-16,4.117938252129499e-16,4.117938252129499e-16,1.0,0.7986786046273123,4.117938252129499e-16,4.117938252129499e-16,-0.35563416903561623,-0.19170448184281721,-4.117938252129499e-16,-4.117938252129499e-16
T-P(㎎/L),1.0753647717499992e-16,-1.0753647717499992e-16,-1.0753647717499992e-16,0.7986786046273123,1.0,-1.0753647717499992e-16,-1.0753647717499992e-16,-0.27812803170579936,-0.4644542012835362,1.0753647717499992e-16,1.0753647717499992e-16
Dissolved Total N(㎎/L),-1.0,1.0,1.0,4.117938252129499e-16,-1.0753647717499992e-16,1.0,1.0,1.9546595209782114e-15,8.294599701051425e-17,-1.0,-1.0
Dissolved Total P(㎎/L),-1.0,1.0,1.0,4.117938252129499e-16,-1.0753647717499992e-16,1.0,1.0,1.9546595209782114e-15,8.294599701051425e-17,-1.0,-1.0
Hydrogen ion conc.,-1.9546595209782114e-15,1.9546595209782114e-15,1.9546595209782114e-15,-0.35563416903561623,-0.27812803170579936,1.9546595209782114e-15,1.9546595209782114e-15,1.0,0.6995429591414237,-1.9546595209782114e-15,-1.9546595209782114e-15
DO (㎎/L),-8.294599701051425e-17,8.294599701051425e-17,8.294599701051425e-17,-0.19170448184281721,-0.4644542012835362,8.294599701051425e-17,8.294599701051425e-17,0.6995429591414237,1.0,-8.294599701051425e-17,-8.294599701051425e-17
TSI(Chl-a),1.0,-1.0,-1.0,-4.117938252129499e-16,1.0753647717499992e-16,-1.0,-1.0,-1.9546595209782114e-15,-8.294599701051425e-17,1.0,1.0
Predict,1.0,-1.0,-1.0,-4.117938252129499e-16,1.0753647717499992e-16,-1.0,-1.0,-1.9546595209782114e-15,-8.294599701051425e-17,1.0,1.0
