,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-0.0899668462504383,0.6588863500670892,0.530656799690142,0.4253686830275165,0.5678282096237653,0.4008918647462384,-0.1791633292448598,-0.17223172151845043,0.113951307988882,0.28129836351596876
NO3-N(㎎/L),-0.0899668462504383,1.0,-0.08924313524523862,0.6563954869370807,-0.017430250734890324,0.6562151824093045,-0.02008244562971843,-0.042339840961385405,0.5897759517817235,-0.052762699770468546,-0.04396303244132221
PO4-P(㎎/L),0.6588863500670892,-0.08924313524523862,1.0,0.4188467365482378,0.7100388759910755,0.44436480057750205,0.7211737431983636,-0.1486041031508037,-0.36485355342889286,0.30910522445675037,0.3724242793858957
T-N(㎎/L),0.530656799690142,0.6563954869370807,0.4188467365482378,1.0,0.4062326494695567,0.9887686543046871,0.39576431919571353,0.017320648497816903,0.3909047288123903,0.08380419676964164,0.18556199106818802
T-P(㎎/L),0.4253686830275165,-0.017430250734890324,0.7100388759910755,0.4062326494695567,1.0,0.3974424257635234,0.9626304545428879,0.07706852214084554,-0.058926346793168285,0.4351698395836029,0.20957287216784906
Dissolved Total N(㎎/L),0.5678282096237653,0.6562151824093045,0.44436480057750205,0.9887686543046871,0.3974424257635234,1.0,0.39625256380724294,0.0024782457916298485,0.36113555679693743,0.04606163475123498,0.17604231599827122
Dissolved Total P(㎎/L),0.4008918647462384,-0.02008244562971843,0.7211737431983636,0.39576431919571353,0.9626304545428879,0.39625256380724294,1.0,0.08699167679981944,-0.07939758461255912,0.34559396212955046,0.22320981268560378
Hydrogen ion conc.,-0.1791633292448598,-0.042339840961385405,-0.1486041031508037,0.017320648497816903,0.07706852214084554,0.0024782457916298485,0.08699167679981944,1.0,0.20166108339607822,-0.02677082041518884,-0.0908184122162818
DO (㎎/L),-0.17223172151845043,0.5897759517817235,-0.36485355342889286,0.3909047288123903,-0.058926346793168285,0.36113555679693743,-0.07939758461255912,0.20166108339607822,1.0,0.042181767229176194,-0.11804973564311078
TSI(Chl-a),0.113951307988882,-0.052762699770468546,0.30910522445675037,0.08380419676964164,0.4351698395836029,0.04606163475123498,0.34559396212955046,-0.02677082041518884,0.042181767229176194,1.0,0.06456880628255138
Predict,0.28129836351596876,-0.04396303244132221,0.3724242793858957,0.18556199106818802,0.20957287216784906,0.17604231599827122,0.22320981268560378,-0.0908184122162818,-0.11804973564311078,0.06456880628255138,1.0
