,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-1.0,-1.0,-2.0921729531379163e-16,-1.489782931388633e-16,-1.0,-1.0,1.896798709604684e-15,-5.59279053664567e-16,1.0,1.0
NO3-N(㎎/L),-1.0,1.0,1.0,2.0921729531379163e-16,1.489782931388633e-16,1.0,1.0,-1.896798709604684e-15,5.59279053664567e-16,-1.0,-1.0
PO4-P(㎎/L),-1.0,1.0,1.0,2.0921729531379163e-16,1.489782931388633e-16,1.0,1.0,-1.896798709604684e-15,5.59279053664567e-16,-1.0,-1.0
T-N(㎎/L),-2.0921729531379163e-16,2.0921729531379163e-16,2.0921729531379163e-16,1.0,0.8760477559213995,2.0921729531379163e-16,2.0921729531379163e-16,-0.3434108741102828,0.1738235121268735,-2.0921729531379163e-16,-2.0921729531379163e-16
T-P(㎎/L),-1.489782931388633e-16,1.489782931388633e-16,1.489782931388633e-16,0.8760477559213995,1.0,1.489782931388633e-16,1.489782931388633e-16,-0.31805673856227845,-0.07472187184134112,-1.489782931388633e-16,-1.489782931388633e-16
Dissolved Total N(㎎/L),-1.0,1.0,1.0,2.0921729531379163e-16,1.489782931388633e-16,1.0,1.0,-1.896798709604684e-15,5.59279053664567e-16,-1.0,-1.0
Dissolved Total P(㎎/L),-1.0,1.0,1.0,2.0921729531379163e-16,1.489782931388633e-16,1.0,1.0,-1.896798709604684e-15,5.59279053664567e-16,-1.0,-1.0
Hydrogen ion conc.,1.896798709604684e-15,-1.896798709604684e-15,-1.896798709604684e-15,-0.3434108741102828,-0.31805673856227845,-1.896798709604684e-15,-1.896798709604684e-15,1.0,0.511014193384338,1.896798709604684e-15,1.896798709604684e-15
DO (㎎/L),-5.59279053664567e-16,5.59279053664567e-16,5.59279053664567e-16,0.1738235121268735,-0.07472187184134112,5.59279053664567e-16,5.59279053664567e-16,0.511014193384338,1.0,-5.59279053664567e-16,-5.59279053664567e-16
TSI(Chl-a),1.0,-1.0,-1.0,-2.0921729531379163e-16,-1.489782931388633e-16,-1.0,-1.0,1.896798709604684e-15,-5.59279053664567e-16,1.0,1.0
Predict,1.0,-1.0,-1.0,-2.0921729531379163e-16,-1.489782931388633e-16,-1.0,-1.0,1.896798709604684e-15,-5.59279053664567e-16,1.0,1.0
