,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,0.5256859189323891,0.0702006220312035,0.8439462597582386,0.16694127208779383,0.8367453777143913,0.08843203770246075,0.04505046889391974,0.5280581334961693,0.4088289723111849,-0.11250799019161904
NO3-N(㎎/L),0.5256859189323891,1.0,-0.1315059454319586,0.8753182458799001,-0.06653255238261498,0.8844263946998268,-0.1653347478052779,0.11319147439466277,0.3666695366430401,0.0391983864588666,0.2737150649064744
PO4-P(㎎/L),0.0702006220312035,-0.1315059454319586,1.0,-0.0480689857133576,0.921842714068989,-0.037218617798078835,0.973780631591753,-0.34683375220643675,-0.06106756288519809,0.04439303918307587,0.02476724834811089
T-N(㎎/L),0.8439462597582386,0.8753182458799001,-0.0480689857133576,1.0,0.05965976294143715,0.9981831867659487,-0.05744641272152087,0.08459050793029028,0.5111115657027162,0.2882518429056647,0.11290961335189847
T-P(㎎/L),0.16694127208779383,-0.06653255238261498,0.921842714068989,0.05965976294143715,1.0,0.06458117857104764,0.9263049788263419,-0.2118359644439517,-0.04467572981935022,0.22075853907954043,0.0024037444713321324
Dissolved Total N(㎎/L),0.8367453777143913,0.8844263946998268,-0.037218617798078835,0.9981831867659487,0.06458117857104764,1.0,-0.04708648724595924,0.08541419996894614,0.501241563688463,0.2648478419699168,0.12522247895692423
Dissolved Total P(㎎/L),0.08843203770246075,-0.1653347478052779,0.973780631591753,-0.05744641272152087,0.9263049788263419,-0.04708648724595924,1.0,-0.33118401508915335,0.0020344259309320045,0.0687890366408345,-0.04007390598528104
Hydrogen ion conc.,0.04505046889391974,0.11319147439466277,-0.34683375220643675,0.08459050793029028,-0.2118359644439517,0.08541419996894614,-0.33118401508915335,1.0,-0.05877843939053689,0.3553382839009254,-0.007512229937430323
DO (㎎/L),0.5280581334961693,0.3666695366430401,-0.06106756288519809,0.5111115657027162,-0.04467572981935022,0.501241563688463,0.0020344259309320045,-0.05877843939053689,1.0,0.28852092596242424,-0.09392478144537988
TSI(Chl-a),0.4088289723111849,0.0391983864588666,0.04439303918307587,0.2882518429056647,0.22075853907954043,0.2648478419699168,0.0687890366408345,0.3553382839009254,0.28852092596242424,1.0,-0.14584800850886592
Predict,-0.11250799019161904,0.2737150649064744,0.02476724834811089,0.11290961335189847,0.0024037444713321324,0.12522247895692423,-0.04007390598528104,-0.007512229937430323,-0.09392478144537988,-0.14584800850886592,1.0
