,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,0.005643449508118565,0.865533293728685,0.5953610550504304,0.8799917571819779,0.5875561185563951,0.8779261652270537,0.06799496972844833,-0.14128516438972996,-0.16381739711589396,-0.18212674719890296
NO3-N(㎎/L),0.005643449508118565,1.0,0.06214724874466106,0.7841313762736584,0.10175633894180158,0.7891138796315297,0.07557681962759495,0.2975143455073591,0.450682917565636,-0.39035473795229925,0.010321450716222796
PO4-P(㎎/L),0.865533293728685,0.06214724874466106,1.0,0.5929754477985298,0.9638583945468318,0.5860289747394161,0.9738382799276781,0.04502424870665118,-0.1907047949157897,-0.23575265293684788,-0.11481467473486495
T-N(㎎/L),0.5953610550504304,0.7841313762736584,0.5929754477985298,1.0,0.6430898368279137,0.9981465994881921,0.6154999300561973,0.2621760452993445,0.26287220310414977,-0.4252719446114051,-0.12317624050904238
T-P(㎎/L),0.8799917571819779,0.10175633894180158,0.9638583945468318,0.6430898368279137,1.0,0.6398277829547465,0.9891251150629858,0.139809387015065,-0.16383235939525545,-0.17964597319428596,-0.22982709571701515
Dissolved Total N(㎎/L),0.5875561185563951,0.7891138796315297,0.5860289747394161,0.9981465994881921,0.6398277829547465,1.0,0.6151146757513255,0.26340153160902435,0.2630050580324127,-0.4303799133176243,-0.13143951353857874
Dissolved Total P(㎎/L),0.8779261652270537,0.07557681962759495,0.9738382799276781,0.6154999300561973,0.9891251150629858,0.6151146757513255,1.0,0.1076716714316079,-0.17977740257346334,-0.20928768682900836,-0.21052347590275966
Hydrogen ion conc.,0.06799496972844833,0.2975143455073591,0.04502424870665118,0.2621760452993445,0.139809387015065,0.26340153160902435,0.1076716714316079,1.0,0.38383743214268784,0.14422274167342494,-0.3075821927357281
DO (㎎/L),-0.14128516438972996,0.450682917565636,-0.1907047949157897,0.26287220310414977,-0.16383235939525545,0.2630050580324127,-0.17977740257346334,0.38383743214268784,1.0,0.0069429020788843955,0.06657333684832323
TSI(Chl-a),-0.16381739711589396,-0.39035473795229925,-0.23575265293684788,-0.4252719446114051,-0.17964597319428596,-0.4303799133176243,-0.20928768682900836,0.14422274167342494,0.0069429020788843955,1.0,-0.06080510772084541
Predict,-0.18212674719890296,0.010321450716222796,-0.11481467473486495,-0.12317624050904238,-0.22982709571701515,-0.13143951353857874,-0.21052347590275966,-0.3075821927357281,0.06657333684832323,-0.06080510772084541,1.0
