,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,0.021002024510609136,0.9441681291898052,0.5568673331683492,0.937405773632625,0.5344442401378335,0.9533896475357199,-0.2900934650763252,-0.4018293839690966,-0.08761487204619052,0.09929046408788007
NO3-N(㎎/L),0.021002024510609136,1.0,0.016779819209485212,0.7762722525835091,0.01815538450241164,0.7889198406272571,0.04993554748012289,-0.07986775096723943,0.11646817368919483,-0.5894169319396684,0.057538394542303396
PO4-P(㎎/L),0.9441681291898052,0.016779819209485212,1.0,0.5397255575665847,0.9765084028459973,0.5233705504189895,0.9902546422191465,-0.33273322634117625,-0.5122436842248742,-0.11402439774570056,0.0915484434250382
T-N(㎎/L),0.5568673331683492,0.7762722525835091,0.5397255575665847,1.0,0.5458754355707202,0.997198331467704,0.5691428391954272,-0.2391240765944925,-0.15959176546359277,-0.5257352193404802,0.0833317895501883
T-P(㎎/L),0.937405773632625,0.01815538450241164,0.9765084028459973,0.5458754355707202,1.0,0.5228556152198014,0.9828959460225775,-0.3279741500307797,-0.5229235468289564,-0.11811919704154952,0.09867724738800318
Dissolved Total N(㎎/L),0.5344442401378335,0.7889198406272571,0.5233705504189895,0.997198331467704,0.5228556152198014,1.0,0.5501128834618321,-0.24793630382441006,-0.14378865302824725,-0.5398577796717788,0.07258471939577328
Dissolved Total P(㎎/L),0.9533896475357199,0.04993554748012289,0.9902546422191465,0.5691428391954272,0.9828959460225775,0.5501128834618321,1.0,-0.3234328634308946,-0.5282932477490455,-0.1383532479712114,0.11246440245134126
Hydrogen ion conc.,-0.2900934650763252,-0.07986775096723943,-0.33273322634117625,-0.2391240765944925,-0.3279741500307797,-0.24793630382441006,-0.3234328634308946,1.0,0.31820407177306415,0.3285616951283664,-0.03133040134853274
DO (㎎/L),-0.4018293839690966,0.11646817368919483,-0.5122436842248742,-0.15959176546359277,-0.5229235468289564,-0.14378865302824725,-0.5282932477490455,0.31820407177306415,1.0,0.04338012734797489,0.015075877830691238
TSI(Chl-a),-0.08761487204619052,-0.5894169319396684,-0.11402439774570056,-0.5257352193404802,-0.11811919704154952,-0.5398577796717788,-0.1383532479712114,0.3285616951283664,0.04338012734797489,1.0,-0.07238477475317076
Predict,0.09929046408788007,0.057538394542303396,0.0915484434250382,0.0833317895501883,0.09867724738800318,0.07258471939577328,0.11246440245134126,-0.03133040134853274,0.015075877830691238,-0.07238477475317076,1.0
