,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,0.10428723714563662,-0.20965630237456018,0.6768033595574278,-0.04274825379423095,0.7008732329813203,-0.126360070297552,-0.19392849611860155,0.15158882776353735,-0.31633853171905746,0.17027061244575678
NO3-N(㎎/L),0.10428723714563662,1.0,-0.5987890194494884,0.556637543137104,-0.44864901093398407,0.5444886842010966,-0.5569108416788923,0.01267389904658641,0.4810326902194471,-0.1921903955165236,0.34699259470814536
PO4-P(㎎/L),-0.20965630237456018,-0.5987890194494884,1.0,-0.4556757817896588,0.6255373226624714,-0.4654607060596371,0.8804575504127318,-0.12574915102147668,-0.5644195859335173,0.12267247495283012,-0.35364946371394385
T-N(㎎/L),0.6768033595574278,0.556637543137104,-0.4556757817896588,1.0,-0.10629798824068452,0.980886984176929,-0.3134092695390368,-0.19801069531350762,0.3840627854000872,-0.2875106528494838,0.31430710464335276
T-P(㎎/L),-0.04274825379423095,-0.44864901093398407,0.6255373226624714,-0.10629798824068452,1.0,-0.15600478760802344,0.7792634983940956,-0.1643005554250449,-0.35550203464800995,0.2571433485907326,-0.263312806998957
Dissolved Total N(㎎/L),0.7008732329813203,0.5444886842010966,-0.4654607060596371,0.980886984176929,-0.15600478760802344,1.0,-0.33205967579102325,-0.21878086665269422,0.37489761262531046,-0.33040518245427897,0.27978009394623277
Dissolved Total P(㎎/L),-0.126360070297552,-0.5569108416788923,0.8804575504127318,-0.3134092695390368,0.7792634983940956,-0.33205967579102325,1.0,-0.20377980428217152,-0.5055880782463933,0.17390733682536982,-0.2651721812953575
Hydrogen ion conc.,-0.19392849611860155,0.01267389904658641,-0.12574915102147668,-0.19801069531350762,-0.1643005554250449,-0.21878086665269422,-0.20377980428217152,1.0,0.13026892126906162,0.033657539043581944,-0.0880608185231001
DO (㎎/L),0.15158882776353735,0.4810326902194471,-0.5644195859335173,0.3840627854000872,-0.35550203464800995,0.37489761262531046,-0.5055880782463933,0.13026892126906162,1.0,-0.02000685015746751,0.3462238262088346
TSI(Chl-a),-0.31633853171905746,-0.1921903955165236,0.12267247495283012,-0.2875106528494838,0.2571433485907326,-0.33040518245427897,0.17390733682536982,0.033657539043581944,-0.02000685015746751,1.0,-0.20262102698942427
Predict,0.17027061244575678,0.34699259470814536,-0.35364946371394385,0.31430710464335276,-0.263312806998957,0.27978009394623277,-0.2651721812953575,-0.0880608185231001,0.3462238262088346,-0.20262102698942427,1.0
