,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,0.24415122266715897,-0.047646395159364544,0.5266598958446661,0.04492376520109978,0.5278176494281588,-0.040271253425350026,-0.04904652202208153,0.3677362192751204,0.04946061657668451,-0.1607895008731604
NO3-N(㎎/L),0.24415122266715897,1.0,-0.03089696329495463,0.8062775379588221,0.18437094099611256,0.8127590878567255,0.14228467361959302,-0.07439125428082699,0.4004407319475767,0.223063121345172,0.10893404017236717
PO4-P(㎎/L),-0.047646395159364544,-0.03089696329495463,1.0,-0.0408893594121145,0.6311594149850809,-0.05015491030208116,0.6786568489327001,-0.2886378949149725,-0.24268053134795858,-0.16290161939420345,-0.08293827874380993
T-N(㎎/L),0.5266598958446661,0.8062775379588221,-0.0408893594121145,1.0,0.1892672147103301,0.9910853046233471,0.11860976489727436,-0.10416409847482051,0.47051505240388,0.2453095487676694,0.006050566846817096
T-P(㎎/L),0.04492376520109978,0.18437094099611256,0.6311594149850809,0.1892672147103301,1.0,0.1766536109785046,0.7583020438751891,-0.1652406583295216,-0.24193546205544192,0.08313352258990803,-0.10921668206328984
Dissolved Total N(㎎/L),0.5278176494281588,0.8127590878567255,-0.05015491030208116,0.9910853046233471,0.1766536109785046,1.0,0.12205634980495772,-0.11861340912587144,0.47840000698930424,0.24310518677668522,-0.0023860217900185674
Dissolved Total P(㎎/L),-0.040271253425350026,0.14228467361959302,0.6786568489327001,0.11860976489727436,0.7583020438751891,0.12205634980495772,1.0,-0.16679653054818963,-0.28710508804830376,-0.09675509199221725,-0.03262901732497597
Hydrogen ion conc.,-0.04904652202208153,-0.07439125428082699,-0.2886378949149725,-0.10416409847482051,-0.1652406583295216,-0.11861340912587144,-0.16679653054818963,1.0,0.047721655334282236,0.2751097776179399,-0.01523986862146842
DO (㎎/L),0.3677362192751204,0.4004407319475767,-0.24268053134795858,0.47051505240388,-0.24193546205544192,0.47840000698930424,-0.28710508804830376,0.047721655334282236,1.0,0.01933232243689022,0.07254431764690532
TSI(Chl-a),0.04946061657668451,0.223063121345172,-0.16290161939420345,0.2453095487676694,0.08313352258990803,0.24310518677668522,-0.09675509199221725,0.2751097776179399,0.01933232243689022,1.0,0.09371150060151813
Predict,-0.1607895008731604,0.10893404017236717,-0.08293827874380993,0.006050566846817096,-0.10921668206328984,-0.0023860217900185674,-0.03262901732497597,-0.01523986862146842,0.07254431764690532,0.09371150060151813,1.0
