,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-0.41760390448742774,0.2982782963965827,-0.06774807900554673,0.35399520779887966,-0.058208743342663564,0.39248293158331726,0.018266718474592335,-0.37913022435508587,0.05039769007554033,0.019576209738304713
NO3-N(㎎/L),-0.41760390448742774,1.0,-0.1273932889984453,0.8496613582623972,-0.36753770481058085,0.8581372413136269,-0.2997796519909189,-0.11983227080849722,0.12796193557408062,-0.36240887772092206,-0.13715166136906481
PO4-P(㎎/L),0.2982782963965827,-0.1273932889984453,1.0,0.04745954819914775,0.777552933732182,0.03770676742793192,0.846383002841587,-0.0549038071690996,-0.6723094611749258,-0.06852806470467081,-0.14517609215629104
T-N(㎎/L),-0.06774807900554673,0.8496613582623972,0.04745954819914775,1.0,-0.1422638900370234,0.9796011759164395,-0.06131234469777142,-0.12499097597906206,-0.03503598179447373,-0.39224707477306586,-0.15222423168270124
T-P(㎎/L),0.35399520779887966,-0.36753770481058085,0.777552933732182,-0.1422638900370234,1.0,-0.16877155494119714,0.9638254906027317,0.0639285720397698,-0.478634768021856,0.07176447137619671,0.03794891265468156
Dissolved Total N(㎎/L),-0.058208743342663564,0.8581372413136269,0.03770676742793192,0.9796011759164395,-0.16877155494119714,1.0,-0.07648742348776978,-0.11768500716216478,-0.024739043893910653,-0.4141168031950795,-0.14229478874470966
Dissolved Total P(㎎/L),0.39248293158331726,-0.2997796519909189,0.846383002841587,-0.06131234469777142,0.9638254906027317,-0.07648742348776978,1.0,0.03600604493888468,-0.5746291678054304,0.012236295120455239,-0.047950189919420946
Hydrogen ion conc.,0.018266718474592335,-0.11983227080849722,-0.0549038071690996,-0.12499097597906206,0.0639285720397698,-0.11768500716216478,0.03600604493888468,1.0,0.23238507638164593,0.21681482639216731,-0.07899062125703904
DO (㎎/L),-0.37913022435508587,0.12796193557408062,-0.6723094611749258,-0.03503598179447373,-0.478634768021856,-0.024739043893910653,-0.5746291678054304,0.23238507638164593,1.0,0.1483834018841703,0.14406278982613577
TSI(Chl-a),0.05039769007554033,-0.36240887772092206,-0.06852806470467081,-0.39224707477306586,0.07176447137619671,-0.4141168031950795,0.012236295120455239,0.21681482639216731,0.1483834018841703,1.0,-0.006761872030034569
Predict,0.019576209738304713,-0.13715166136906481,-0.14517609215629104,-0.15222423168270124,0.03794891265468156,-0.14229478874470966,-0.047950189919420946,-0.07899062125703904,0.14406278982613577,-0.006761872030034569,1.0
