,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-0.12760215188758794,0.02765794934452069,0.39165249004337416,-0.06728786720206778,0.6185650459228362,0.069220092660917,-0.1313222733453503,0.3066550591061157,6.70534334856136e-17,6.70534334856136e-17
NO3-N(㎎/L),-0.12760215188758794,1.0,0.050344175194637374,0.25333122619772264,-0.3651567074909765,0.6749185382406219,0.07764228133387333,0.3810692419149795,0.3269921614528506,5.63283968984953e-16,5.63283968984953e-16
PO4-P(㎎/L),0.02765794934452069,0.050344175194637374,1.0,-0.1676961788616944,0.3646712141617568,0.06448247626758445,0.9907959547052915,-0.09169083471242503,-0.17463671820068807,-3.376340527752951e-16,-3.376340527752951e-16
T-N(㎎/L),0.39165249004337416,0.25333122619772264,-0.1676961788616944,1.0,0.19126422497407225,0.5262472563330053,-0.1184495270578084,0.1254241153074893,0.6729117210374307,5.577271830705807e-16,5.577271830705807e-16
T-P(㎎/L),-0.06728786720206778,-0.3651567074909765,0.3646712141617568,0.19126422497407225,1.0,-0.2955904983955223,0.36641868909813835,-0.17995937391879793,0.049839690845829614,-8.314992643755313e-16,-8.314992643755313e-16
Dissolved Total N(㎎/L),0.6185650459228362,0.6749185382406219,0.06448247626758445,0.5262472563330053,-0.2955904983955223,1.0,0.12404207523685176,0.22953147010368624,0.509256832784227,5.545670853675919e-16,5.545670853675919e-16
Dissolved Total P(㎎/L),0.069220092660917,0.07764228133387333,0.9907959547052915,-0.1184495270578084,0.36641868909813835,0.12404207523685176,1.0,-0.09119636491666955,-0.1410985465510912,2.1288985064888845e-16,2.1288985064888845e-16
Hydrogen ion conc.,-0.1313222733453503,0.3810692419149795,-0.09169083471242503,0.1254241153074893,-0.17995937391879793,0.22953147010368624,-0.09119636491666955,1.0,0.41220936338277187,3.200231381759089e-14,3.200231381759089e-14
DO (㎎/L),0.3066550591061157,0.3269921614528506,-0.17463671820068807,0.6729117210374307,0.049839690845829614,0.509256832784227,-0.1410985465510912,0.41220936338277187,1.0,7.136499042327739e-16,7.136499042327739e-16
TSI(Chl-a),6.70534334856136e-17,5.63283968984953e-16,-3.376340527752951e-16,5.577271830705807e-16,-8.314992643755313e-16,5.545670853675919e-16,2.1288985064888845e-16,3.200231381759089e-14,7.136499042327739e-16,1.0,1.0
Predict,6.70534334856136e-17,5.63283968984953e-16,-3.376340527752951e-16,5.577271830705807e-16,-8.314992643755313e-16,5.545670853675919e-16,2.1288985064888845e-16,3.200231381759089e-14,7.136499042327739e-16,1.0,1.0
