,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-0.4532973256977881,-0.049584145505748724,0.4475862688570561,0.17241389517597724,0.4793684616692147,-0.029025749778053393,0.060481087681106105,0.2879922569906705,-0.4052603248703606,0.013092070200501951
NO3-N(㎎/L),-0.4532973256977881,1.0,-0.1428718873061783,0.4065076800578547,-0.19296695754724016,0.4013341488526734,-0.048471047438155,-0.062309887458663074,0.2700821815252249,0.060402134770418364,0.17967255806493015
PO4-P(㎎/L),-0.049584145505748724,-0.1428718873061783,1.0,-0.16461407824843596,0.7227140309239931,-0.14751979640507837,0.8440854163343015,0.011105505029795296,-0.16726816263835217,-0.017601881268766776,-0.0909532714982313
T-N(㎎/L),0.4475862688570561,0.4065076800578547,-0.16461407824843596,1.0,0.13521103430949521,0.9869233035948021,0.04629636541880427,-0.06508614905847417,0.5076728413850812,-0.3263499125532893,0.14913413092959077
T-P(㎎/L),0.17241389517597724,-0.19296695754724016,0.7227140309239931,0.13521103430949521,1.0,0.13934180419881714,0.9129866949967393,0.10932968848671787,0.06898400064317894,-0.18742207624365778,0.011991123880501692
Dissolved Total N(㎎/L),0.4793684616692147,0.4013341488526734,-0.14751979640507837,0.9869233035948021,0.13934180419881714,1.0,0.04747011517749178,-0.020948532659212427,0.5232964024623054,-0.33786066816277865,0.12977111396309468
Dissolved Total P(㎎/L),-0.029025749778053393,-0.048471047438155,0.8440854163343015,0.04629636541880427,0.9129866949967393,0.04747011517749178,1.0,0.016217937214002144,-0.05222421767254619,-0.02620911597459866,-0.05845499565447754
Hydrogen ion conc.,0.060481087681106105,-0.062309887458663074,0.011105505029795296,-0.06508614905847417,0.10932968848671787,-0.020948532659212427,0.016217937214002144,1.0,0.10791127517097224,0.04484781940785286,-0.11370748527560587
DO (㎎/L),0.2879922569906705,0.2700821815252249,-0.16726816263835217,0.5076728413850812,0.06898400064317894,0.5232964024623054,-0.05222421767254619,0.10791127517097224,1.0,-0.36841989110785694,0.33377312273088977
TSI(Chl-a),-0.4052603248703606,0.060402134770418364,-0.017601881268766776,-0.3263499125532893,-0.18742207624365778,-0.33786066816277865,-0.02620911597459866,0.04484781940785286,-0.36841989110785694,1.0,-0.22313092322207545
Predict,0.013092070200501951,0.17967255806493015,-0.0909532714982313,0.14913413092959077,0.011991123880501692,0.12977111396309468,-0.05845499565447754,-0.11370748527560587,0.33377312273088977,-0.22313092322207545,1.0
