,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,0.014896889983278764,0.1209570065790681,0.3660621500963274,0.08160529844701679,0.45864871778782484,0.15091422686371564,0.08529570406264304,0.0028549727908021576,0.12603555666128782,0.001349204811737588
NO3-N(㎎/L),0.014896889983278764,1.0,0.4537109702198084,0.5461432714576867,0.33894015860139237,0.6868314242599834,0.41823903453138633,-0.06995815041846386,0.2722223554845106,-0.019690354171788233,0.23619985405847124
PO4-P(㎎/L),0.1209570065790681,0.4537109702198084,1.0,0.1288228394890932,0.669314085395415,0.34312203919407736,0.8637356842748455,-0.32431595824993076,-0.20391487626195914,0.2024416218084,0.03812173648036075
T-N(㎎/L),0.3660621500963274,0.5461432714576867,0.1288228394890932,1.0,0.4715968041289658,0.859942246902748,0.2891400014217522,0.3551575568907845,0.3699636041687499,-0.05919959124250772,0.2983185419057257
T-P(㎎/L),0.08160529844701679,0.33894015860139237,0.669314085395415,0.4715968041289658,1.0,0.4299783408138928,0.8519820428675584,-0.04230122632914155,-0.09420406808302702,0.19922084753821453,0.028148099836864022
Dissolved Total N(㎎/L),0.45864871778782484,0.6868314242599834,0.34312203919407736,0.859942246902748,0.4299783408138928,1.0,0.47585870775295236,0.14892098779996155,0.2604273186387287,-0.035642354384260035,0.3596584945878773
Dissolved Total P(㎎/L),0.15091422686371564,0.41823903453138633,0.8637356842748455,0.2891400014217522,0.8519820428675584,0.47585870775295236,1.0,-0.24648663822080477,-0.1387979106258729,0.17703614702097709,0.05895783934511345
Hydrogen ion conc.,0.08529570406264304,-0.06995815041846386,-0.32431595824993076,0.3551575568907845,-0.04230122632914155,0.14892098779996155,-0.24648663822080477,1.0,0.17871779007916397,-0.05049599541709731,0.06745735847994926
DO (㎎/L),0.0028549727908021576,0.2722223554845106,-0.20391487626195914,0.3699636041687499,-0.09420406808302702,0.2604273186387287,-0.1387979106258729,0.17871779007916397,1.0,-0.06657540767178051,0.21892767137106744
TSI(Chl-a),0.12603555666128782,-0.019690354171788233,0.2024416218084,-0.05919959124250772,0.19922084753821453,-0.035642354384260035,0.17703614702097709,-0.05049599541709731,-0.06657540767178051,1.0,-0.13237201630595702
Predict,0.001349204811737588,0.23619985405847124,0.03812173648036075,0.2983185419057257,0.028148099836864022,0.3596584945878773,0.05895783934511345,0.06745735847994926,0.21892767137106744,-0.13237201630595702,1.0
