,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-1.0,-1.0,4.607856138700226e-16,-4.621577804378542e-16,-1.0,-1.0,7.089935050894788e-15,5.283127447863169e-16,1.0,1.0
NO3-N(㎎/L),-1.0,1.0,1.0,-4.607856138700226e-16,4.621577804378542e-16,1.0,1.0,-7.089935050894788e-15,-5.283127447863169e-16,-1.0,-1.0
PO4-P(㎎/L),-1.0,1.0,1.0,-4.607856138700226e-16,4.621577804378542e-16,1.0,1.0,-7.089935050894788e-15,-5.283127447863169e-16,-1.0,-1.0
T-N(㎎/L),4.607856138700226e-16,-4.607856138700226e-16,-4.607856138700226e-16,1.0,-0.49041131277653344,-4.607856138700226e-16,-4.607856138700226e-16,0.25936480740276446,0.4855452908937654,4.607856138700226e-16,4.607856138700226e-16
T-P(㎎/L),-4.621577804378542e-16,4.621577804378542e-16,4.621577804378542e-16,-0.49041131277653344,1.0,4.621577804378542e-16,4.621577804378542e-16,-0.7349867540854943,-0.3208893392648186,-4.621577804378542e-16,-4.621577804378542e-16
Dissolved Total N(㎎/L),-1.0,1.0,1.0,-4.607856138700226e-16,4.621577804378542e-16,1.0,1.0,-7.089935050894788e-15,-5.283127447863169e-16,-1.0,-1.0
Dissolved Total P(㎎/L),-1.0,1.0,1.0,-4.607856138700226e-16,4.621577804378542e-16,1.0,1.0,-7.089935050894788e-15,-5.283127447863169e-16,-1.0,-1.0
Hydrogen ion conc.,7.089935050894788e-15,-7.089935050894788e-15,-7.089935050894788e-15,0.25936480740276446,-0.7349867540854943,-7.089935050894788e-15,-7.089935050894788e-15,1.0,0.26575320950701736,7.089935050894788e-15,7.089935050894788e-15
DO (㎎/L),5.283127447863169e-16,-5.283127447863169e-16,-5.283127447863169e-16,0.4855452908937654,-0.3208893392648186,-5.283127447863169e-16,-5.283127447863169e-16,0.26575320950701736,1.0,5.283127447863169e-16,5.283127447863169e-16
TSI(Chl-a),1.0,-1.0,-1.0,4.607856138700226e-16,-4.621577804378542e-16,-1.0,-1.0,7.089935050894788e-15,5.283127447863169e-16,1.0,1.0
Predict,1.0,-1.0,-1.0,4.607856138700226e-16,-4.621577804378542e-16,-1.0,-1.0,7.089935050894788e-15,5.283127447863169e-16,1.0,1.0
