,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-0.3814927418413377,-0.34073321868196954,0.8492307320878467,-0.12987713486356242,0.8362007068828999,-0.18075545085462158,-0.5672086659144719,0.5042995923182781,-0.13883923736943857,0.17542634235019586
NO3-N(㎎/L),-0.3814927418413377,1.0,0.25449823990991577,-0.013753858237585247,0.16385394160881842,0.03534046625504869,0.23737304705711493,0.37697329493765824,0.03964356295327257,-0.01944993604597741,-0.016328496769971484
PO4-P(㎎/L),-0.34073321868196954,0.25449823990991577,1.0,-0.2459156234467035,0.8078383813214812,-0.26847755534766987,0.8860882147651831,0.2727189370172618,-0.2879945006656352,0.1692946983797118,-0.22628838052599748
T-N(㎎/L),0.8492307320878467,-0.013753858237585247,-0.2459156234467035,1.0,0.01064969012104505,0.9823238754635835,-0.048048396882491684,-0.4804919686946037,0.6577880201378171,-0.20485492741741573,0.1852856213048446
T-P(㎎/L),-0.12987713486356242,0.16385394160881842,0.8078383813214812,0.01064969012104505,1.0,-0.05226779526131082,0.9596628141031194,0.12241613467969827,-0.012785681363558458,0.07566085688425978,-0.06631996061950576
Dissolved Total N(㎎/L),0.8362007068828999,0.03534046625504869,-0.26847755534766987,0.9823238754635835,-0.05226779526131082,1.0,-0.10207923235132978,-0.47478760756154537,0.638936339018182,-0.2072944385178385,0.1942164259354401
Dissolved Total P(㎎/L),-0.18075545085462158,0.23737304705711493,0.8860882147651831,-0.048048396882491684,0.9596628141031194,-0.10207923235132978,1.0,0.1740198473443819,-0.09621900006217382,0.10087445886370151,-0.10456138696794538
Hydrogen ion conc.,-0.5672086659144719,0.37697329493765824,0.2727189370172618,-0.4804919686946037,0.12241613467969827,-0.47478760756154537,0.1740198473443819,1.0,-0.16067287779692718,0.2807647510055345,-0.19405858068453508
DO (㎎/L),0.5042995923182781,0.03964356295327257,-0.2879945006656352,0.6577880201378171,-0.012785681363558458,0.638936339018182,-0.09621900006217382,-0.16067287779692718,1.0,0.025791526023130864,0.23901677585599657
TSI(Chl-a),-0.13883923736943857,-0.01944993604597741,0.1692946983797118,-0.20485492741741573,0.07566085688425978,-0.2072944385178385,0.10087445886370151,0.2807647510055345,0.025791526023130864,1.0,-0.19589343865060366
Predict,0.17542634235019586,-0.016328496769971484,-0.22628838052599748,0.1852856213048446,-0.06631996061950576,0.1942164259354401,-0.10456138696794538,-0.19405858068453508,0.23901677585599657,-0.19589343865060366,1.0
