,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,0.6310088823949046,0.4481093232207038,0.8411465658761874,0.6198576265659753,0.8381098855403679,0.508161934059091,-0.2143327083111423,0.3681445668487411,0.3354597702190393,0.003948437364701562
NO3-N(㎎/L),0.6310088823949046,1.0,0.2071172882380441,0.9371747710778223,0.30760729571364875,0.9399157434361551,0.27447980163363966,-0.21658263655535318,0.10299658430469945,0.08373060960676944,0.14472978587525834
PO4-P(㎎/L),0.4481093232207038,0.2071172882380441,1.0,0.3403219701514424,0.9074291033267147,0.3501213798975725,0.9890535802259295,-0.3176759842639002,-0.020091504560660885,0.191151176809623,0.08431723457441917
T-N(㎎/L),0.8411465658761874,0.9371747710778223,0.3403219701514424,1.0,0.49147027259580245,0.9989089899767949,0.41460466636648624,-0.24715725088212928,0.20623757369207257,0.22926592669854232,0.10779079770919084
T-P(㎎/L),0.6198576265659753,0.30760729571364875,0.9074291033267147,0.49147027259580245,1.0,0.4911808967416125,0.9279850078504543,-0.4473299349319939,-0.018068185690312186,0.3553713971980785,-0.009367755477497691
Dissolved Total N(㎎/L),0.8381098855403679,0.9399157434361551,0.3501213798975725,0.9989089899767949,0.4911808967416125,1.0,0.4231106618742801,-0.23537071735857687,0.21745233486671806,0.21659956646524303,0.11387488964335331
Dissolved Total P(㎎/L),0.508161934059091,0.27447980163363966,0.9890535802259295,0.41460466636648624,0.9279850078504543,0.4231106618742801,1.0,-0.3467869008964922,-0.0384409049296355,0.2274668823491607,0.07126756079082532
Hydrogen ion conc.,-0.2143327083111423,-0.21658263655535318,-0.3176759842639002,-0.24715725088212928,-0.4473299349319939,-0.23537071735857687,-0.3467869008964922,1.0,0.36761066347908045,0.04285826986358328,0.19193387437589152
DO (㎎/L),0.3681445668487411,0.10299658430469945,-0.020091504560660885,0.20623757369207257,-0.018068185690312186,0.21745233486671806,-0.0384409049296355,0.36761066347908045,1.0,-0.026456760794853887,0.06579295475011224
TSI(Chl-a),0.3354597702190393,0.08373060960676944,0.191151176809623,0.22926592669854232,0.3553713971980785,0.21659956646524303,0.2274668823491607,0.04285826986358328,-0.026456760794853887,1.0,0.013776251085251014
Predict,0.003948437364701562,0.14472978587525834,0.08431723457441917,0.10779079770919084,-0.009367755477497691,0.11387488964335331,0.07126756079082532,0.19193387437589152,0.06579295475011224,0.013776251085251014,1.0
