,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-0.2902281816641997,0.685689905791014,0.33913540039261725,0.6961061586980805,0.3651524667449625,0.6921424013354941,0.10137786312141948,-0.27572554375117986,-0.016944134072359278,-0.1287739342144122
NO3-N(㎎/L),-0.2902281816641997,1.0,-0.26229851301505436,0.6060882978335729,-0.1365398506210941,0.6161283261191184,-0.10313775122402644,0.36252765251234864,0.743752137920462,-0.33723749817280463,0.33450784655038623
PO4-P(㎎/L),0.685689905791014,-0.26229851301505436,1.0,0.29038508831038473,0.7923586939064301,0.31219054259272055,0.8274564397962673,0.12306084801043125,-0.4076136762108538,0.018616895771490262,-0.27966535716985985
T-N(㎎/L),0.33913540039261725,0.6060882978335729,0.29038508831038473,1.0,0.4342480327503853,0.9677818524316483,0.43020597330561056,0.4203067761168684,0.42531029990477304,-0.23267810263839128,0.10556022073745776
T-P(㎎/L),0.6961061586980805,-0.1365398506210941,0.7923586939064301,0.4342480327503853,1.0,0.43072382183854735,0.9346383773067256,0.24128953298174957,-0.26183115172654553,0.053404176734438674,-0.1555762124315942
Dissolved Total N(㎎/L),0.3651524667449625,0.6161283261191184,0.31219054259272055,0.9677818524316483,0.43072382183854735,1.0,0.44633662983102046,0.4134092500121426,0.4284103283047777,-0.28070349880138945,0.08653789029727724
Dissolved Total P(㎎/L),0.6921424013354941,-0.10313775122402644,0.8274564397962673,0.43020597330561056,0.9346383773067256,0.44633662983102046,1.0,0.1896595075028763,-0.26732829840168065,-0.06124611785519663,-0.11733697571167634
Hydrogen ion conc.,0.10137786312141948,0.36252765251234864,0.12306084801043125,0.4203067761168684,0.24128953298174957,0.4134092500121426,0.1896595075028763,1.0,0.390144936003376,0.03414326785067175,-0.05524706033535148
DO (㎎/L),-0.27572554375117986,0.743752137920462,-0.4076136762108538,0.42531029990477304,-0.26183115172654553,0.4284103283047777,-0.26732829840168065,0.390144936003376,1.0,-0.2441939924968433,0.2780768404118377
TSI(Chl-a),-0.016944134072359278,-0.33723749817280463,0.018616895771490262,-0.23267810263839128,0.053404176734438674,-0.28070349880138945,-0.06124611785519663,0.03414326785067175,-0.2441939924968433,1.0,-0.29491996135376475
Predict,-0.1287739342144122,0.33450784655038623,-0.27966535716985985,0.10556022073745776,-0.1555762124315942,0.08653789029727724,-0.11733697571167634,-0.05524706033535148,0.2780768404118377,-0.29491996135376475,1.0
