,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-0.1418013516423033,0.1148850158983754,0.7544002761876334,0.11412818254978745,0.7598461764155189,0.09573876457342273,-0.15289030379271198,0.3900716865999519,-0.01664586048473439,0.15202599852302492
NO3-N(㎎/L),-0.1418013516423033,1.0,-0.05939542409945067,0.315202148760896,0.0064283830880414354,0.3032784084657496,-0.006019938152472288,-0.08417189649358203,0.0699071373742294,-0.13718986518509935,0.12827516308982437
PO4-P(㎎/L),0.1148850158983754,-0.05939542409945067,1.0,0.1602703679673258,0.9475494369542503,0.19037984137849684,0.9675391335261064,0.10543508771164774,0.37976952771825845,0.13381137683124858,0.22097548166387015
T-N(㎎/L),0.7544002761876334,0.315202148760896,0.1602703679673258,1.0,0.22213543427274293,0.9912219681805953,0.18414333126819832,-0.04659873524441046,0.4325855409584136,-0.10882806343765179,0.2507017856729922
T-P(㎎/L),0.11412818254978745,0.0064283830880414354,0.9475494369542503,0.22213543427274293,1.0,0.23887912059795188,0.9919672474695451,0.15597679208714788,0.3393872853799218,0.13112898331691777,0.22805505024934594
Dissolved Total N(㎎/L),0.7598461764155189,0.3032784084657496,0.19037984137849684,0.9912219681805953,0.23887912059795188,1.0,0.20499291245195847,-0.0534366158139748,0.4440513405627617,-0.09514945342866922,0.2610293956422434
Dissolved Total P(㎎/L),0.09573876457342273,-0.006019938152472288,0.9675391335261064,0.18414333126819832,0.9919672474695451,0.20499291245195847,1.0,0.1387790149561377,0.3473114647715886,0.14862283464726234,0.2174751709002164
Hydrogen ion conc.,-0.15289030379271198,-0.08417189649358203,0.10543508771164774,-0.04659873524441046,0.15597679208714788,-0.0534366158139748,0.1387790149561377,1.0,-0.07033282617095232,0.22559297268632045,0.046027776792566796
DO (㎎/L),0.3900716865999519,0.0699071373742294,0.37976952771825845,0.4325855409584136,0.3393872853799218,0.4440513405627617,0.3473114647715886,-0.07033282617095232,1.0,-0.04876434292620703,0.260972238135782
TSI(Chl-a),-0.01664586048473439,-0.13718986518509935,0.13381137683124858,-0.10882806343765179,0.13112898331691777,-0.09514945342866922,0.14862283464726234,0.22559297268632045,-0.04876434292620703,1.0,-0.20984210212986912
Predict,0.15202599852302492,0.12827516308982437,0.22097548166387015,0.2507017856729922,0.22805505024934594,0.2610293956422434,0.2174751709002164,0.046027776792566796,0.260972238135782,-0.20984210212986912,1.0
