,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,0.45470008975007,0.3062600360451761,0.7875201031485299,0.2525005276725299,0.7854578455647452,0.3021737129944324,-0.21152167653223794,0.3668258860316384,0.18167216419902288,-0.12374356743167714
NO3-N(㎎/L),0.45470008975007,1.0,0.09353628761216831,0.8175762885406846,0.18981109930922876,0.8191105554519847,0.1037010467026382,-0.05193454100927327,0.18352670938916266,0.21170907902825645,0.007655002570268334
PO4-P(㎎/L),0.3062600360451761,0.09353628761216831,1.0,0.14578130627689287,0.7398389052387996,0.13012761042509524,0.9534236024188133,-0.01946570422206159,-0.12469455906340796,0.07561982809436872,-0.04283226127052585
T-N(㎎/L),0.7875201031485299,0.8175762885406846,0.14578130627689287,1.0,0.22251042184273098,0.9950954005592061,0.15815829365207854,-0.1330342289638704,0.36616296032033313,0.24166163818844352,-0.06869740746800304
T-P(㎎/L),0.2525005276725299,0.18981109930922876,0.7398389052387996,0.22251042184273098,1.0,0.19272660437819264,0.8290743214922547,0.16486105004238347,-0.08677723922945758,0.2011530376246853,-0.07127504266579526
Dissolved Total N(㎎/L),0.7854578455647452,0.8191105554519847,0.13012761042509524,0.9950954005592061,0.19272660437819264,1.0,0.1416748369194813,-0.1341448506840537,0.3719613811843711,0.22062275674093645,-0.06378388356782261
Dissolved Total P(㎎/L),0.3021737129944324,0.1037010467026382,0.9534236024188133,0.15815829365207854,0.8290743214922547,0.1416748369194813,1.0,0.11018264087712165,-0.11130311252250141,0.0629297529012059,-0.06026355177158235
Hydrogen ion conc.,-0.21152167653223794,-0.05193454100927327,-0.01946570422206159,-0.1330342289638704,0.16486105004238347,-0.1341448506840537,0.11018264087712165,1.0,-0.029071798569661158,0.309178090160957,0.002417831547642751
DO (㎎/L),0.3668258860316384,0.18352670938916266,-0.12469455906340796,0.36616296032033313,-0.08677723922945758,0.3719613811843711,-0.11130311252250141,-0.029071798569661158,1.0,0.19769282249335673,-0.04954543823358108
TSI(Chl-a),0.18167216419902288,0.21170907902825645,0.07561982809436872,0.24166163818844352,0.2011530376246853,0.22062275674093645,0.0629297529012059,0.309178090160957,0.19769282249335673,1.0,0.09345569279491317
Predict,-0.12374356743167714,0.007655002570268334,-0.04283226127052585,-0.06869740746800304,-0.07127504266579526,-0.06378388356782261,-0.06026355177158235,0.002417831547642751,-0.04954543823358108,0.09345569279491317,1.0
