,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-0.27549523996254144,0.2206771584200407,-0.06018043007889803,0.3281088666267344,-0.05992299719248021,0.2668643092644866,-0.02301095366759052,-0.19575775240629145,-0.13761436114684852,0.0090779003075504
NO3-N(㎎/L),-0.27549523996254144,1.0,-0.0365845574577592,0.8933837213837775,-0.1618536090336871,0.8931751428690723,0.026129591787574426,0.17992476439947785,0.3596216030320894,-0.13527000819574747,0.23772850074755314
PO4-P(㎎/L),0.2206771584200407,-0.0365845574577592,1.0,0.009579353347445448,0.702290649299861,0.004107778584875507,0.8442626006670253,0.03307269548372934,-0.2485414927527209,-0.0527127793629856,-0.05314981192362486
T-N(㎎/L),-0.06018043007889803,0.8933837213837775,0.009579353347445448,1.0,-0.14374383329465698,0.9947501207920544,0.0124454543551556,0.2112476218541715,0.32385376555745204,-0.13690536428220332,0.1636846936698578
T-P(㎎/L),0.3281088666267344,-0.1618536090336871,0.702290649299861,-0.14374383329465698,1.0,-0.15977413821969427,0.8861571193397462,0.13871445142533884,-0.05500629874163452,-0.09985452167532351,-0.03992948689518514
Dissolved Total N(㎎/L),-0.05992299719248021,0.8931751428690723,0.004107778584875507,0.9947501207920544,-0.15977413821969427,1.0,-0.00030366113743253583,0.2033580615448251,0.3132630484904279,-0.12689457485021738,0.16557254837711552
Dissolved Total P(㎎/L),0.2668643092644866,0.026129591787574426,0.8442626006670253,0.0124454543551556,0.8861571193397462,-0.00030366113743253583,1.0,0.07705656102452109,-0.133959803399924,-0.0852015319714122,-0.013772314882292573
Hydrogen ion conc.,-0.02301095366759052,0.17992476439947785,0.03307269548372934,0.2112476218541715,0.13871445142533884,0.2033580615448251,0.07705656102452109,1.0,0.525222747414577,0.13957619271079857,-0.2305039216514764
DO (㎎/L),-0.19575775240629145,0.3596216030320894,-0.2485414927527209,0.32385376555745204,-0.05500629874163452,0.3132630484904279,-0.133959803399924,0.525222747414577,1.0,-0.22762678882769136,0.016099425298245103
TSI(Chl-a),-0.13761436114684852,-0.13527000819574747,-0.0527127793629856,-0.13690536428220332,-0.09985452167532351,-0.12689457485021738,-0.0852015319714122,0.13957619271079857,-0.22762678882769136,1.0,-0.19581525674145384
Predict,0.0090779003075504,0.23772850074755314,-0.05314981192362486,0.1636846936698578,-0.03992948689518514,0.16557254837711552,-0.013772314882292573,-0.2305039216514764,0.016099425298245103,-0.19581525674145384,1.0
