,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,-0.22291598213125816,0.351348973991855,0.2305756222011675,0.23990399507821514,0.3060205925169626,0.2841395973895735,0.002009626403424367,0.10143633934434562,-0.03933154239078382,0.08105220236115213
NO3-N(㎎/L),-0.22291598213125816,1.0,0.07374190533210678,0.391788179885517,-0.18117556603462104,0.7603783796258381,0.029534388511415464,0.17338910711705818,0.5240441968094267,-0.48942093426822714,0.16680397902503172
PO4-P(㎎/L),0.351348973991855,0.07374190533210678,1.0,0.05641054551101601,0.6158412374670919,0.25626529845560436,0.7835460974020796,0.30560110225922216,0.1029714645103105,-0.13074357037098386,-0.0954669464205052
T-N(㎎/L),0.2305756222011675,0.391788179885517,0.05641054551101601,1.0,0.1444985016302237,0.6726941506574275,0.039621971681002593,0.06294646780367859,0.49231674877942466,-0.24365003133219387,0.24986452714259366
T-P(㎎/L),0.23990399507821514,-0.18117556603462104,0.6158412374670919,0.1444985016302237,1.0,0.04040716995952328,0.8333020221157851,0.19932734195975704,0.022341901930157497,0.022398678240427013,-0.1554441066265602
Dissolved Total N(㎎/L),0.3060205925169626,0.7603783796258381,0.25626529845560436,0.6726941506574275,0.04040716995952328,1.0,0.20600816281985188,0.24591061369378234,0.5722052219251123,-0.41232587498772055,0.20100743141402944
Dissolved Total P(㎎/L),0.2841395973895735,0.029534388511415464,0.7835460974020796,0.039621971681002593,0.8333020221157851,0.20600816281985188,1.0,0.30485654220655933,0.14479231885168306,-0.10144489812671188,-0.1271674513374117
Hydrogen ion conc.,0.002009626403424367,0.17338910711705818,0.30560110225922216,0.06294646780367859,0.19932734195975704,0.24591061369378234,0.30485654220655933,1.0,0.08614126622494289,-0.09445001550227196,-0.05170773212234365
DO (㎎/L),0.10143633934434562,0.5240441968094267,0.1029714645103105,0.49231674877942466,0.022341901930157497,0.5722052219251123,0.14479231885168306,0.08614126622494289,1.0,-0.3049436537963313,0.20232753700680126
TSI(Chl-a),-0.03933154239078382,-0.48942093426822714,-0.13074357037098386,-0.24365003133219387,0.022398678240427013,-0.41232587498772055,-0.10144489812671188,-0.09445001550227196,-0.3049436537963313,1.0,-0.057723770127062694
Predict,0.08105220236115213,0.16680397902503172,-0.0954669464205052,0.24986452714259366,-0.1554441066265602,0.20100743141402944,-0.1271674513374117,-0.05170773212234365,0.20232753700680126,-0.057723770127062694,1.0
