,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),TSI(Chl-a),Predict
NH3-N(㎎/L),1.0,0.3931486547894743,0.28077121311592473,0.7460029864856903,0.3600682798150152,0.754793947588617,0.3629113083165895,-0.05634875897853846,0.2725025140801419,0.13728665590126038,-0.052004025358382125
NO3-N(㎎/L),0.3931486547894743,1.0,0.0019878978751677527,0.8544550749000831,0.009876991876979395,0.8544673283834332,-0.029345464653201297,-0.041430888085243034,0.319258917762897,-0.04381177903946218,0.16950685095560838
PO4-P(㎎/L),0.28077121311592473,0.0019878978751677527,1.0,0.12983908299810054,0.7868373912819221,0.14081016266152394,0.93594492815373,-0.22608778848245292,-0.11002094898576956,-0.004161447655818321,0.12550086009963526
T-N(㎎/L),0.7460029864856903,0.8544550749000831,0.12983908299810054,1.0,0.2297223949202694,0.9950989344465452,0.14838957227975194,-0.061470413826838446,0.40432123656599467,0.09664457607829313,0.10809871071003554
T-P(㎎/L),0.3600682798150152,0.009876991876979395,0.7868373912819221,0.2297223949202694,1.0,0.2246012128262759,0.8862677579078495,-0.12401403579860557,-0.04986207987175488,0.15199108721513085,0.029527467812561475
Dissolved Total N(㎎/L),0.754793947588617,0.8544673283834332,0.14081016266152394,0.9950989344465452,0.2246012128262759,1.0,0.16100702987786109,-0.06008668918175737,0.39292964010755294,0.07450228070211992,0.11087799185329318
Dissolved Total P(㎎/L),0.3629113083165895,-0.029345464653201297,0.93594492815373,0.14838957227975194,0.8862677579078495,0.16100702987786109,1.0,-0.13353426060148182,-0.09975475655454238,0.008354382886417608,0.04057712709587649
Hydrogen ion conc.,-0.05634875897853846,-0.041430888085243034,-0.22608778848245292,-0.061470413826838446,-0.12401403579860557,-0.06008668918175737,-0.13353426060148182,1.0,0.1891537840587806,0.2771010158283513,-0.06420164369892158
DO (㎎/L),0.2725025140801419,0.319258917762897,-0.11002094898576956,0.40432123656599467,-0.04986207987175488,0.39292964010755294,-0.09975475655454238,0.1891537840587806,1.0,0.21624013172625606,0.13040103910531028
TSI(Chl-a),0.13728665590126038,-0.04381177903946218,-0.004161447655818321,0.09664457607829313,0.15199108721513085,0.07450228070211992,0.008354382886417608,0.2771010158283513,0.21624013172625606,1.0,-0.06417805074214004
Predict,-0.052004025358382125,0.16950685095560838,0.12550086009963526,0.10809871071003554,0.029527467812561475,0.11087799185329318,0.04057712709587649,-0.06420164369892158,0.13040103910531028,-0.06417805074214004,1.0
