,NH3-N(㎎/L),NO3-N(㎎/L),PO4-P(㎎/L),T-N(㎎/L),T-P(㎎/L),Dissolved Total N(㎎/L),Dissolved Total P(㎎/L),Hydrogen ion conc.,DO (㎎/L),BOD(㎎/L),I(pH),TSI(Chl-a)
NH3-N(㎎/L),1.0,0.1506563884296295,0.2848993732332168,0.7737583043328785,0.35261642294400525,0.7703493866913039,0.2963734038033528,-0.20159599484928203,-0.10862572902188987,0.6435343813275316,0.16714953001095942,0.012525678799044638
NO3-N(㎎/L),0.1506563884296295,1.0,0.24894601654603773,0.6832071998763832,0.2726630393672143,0.6925249011280258,0.2619157931746323,-0.1306639257314866,0.08133296207876715,0.24545842501324758,0.1458733747437174,-0.18994205577783568
PO4-P(㎎/L),0.2848993732332168,0.24894601654603773,1.0,0.38629207012877903,0.9042728945795512,0.3838287751744151,0.9296545191324754,-0.1448684191435616,-0.23951858953786706,0.4305632261813423,0.1362409799304958,-0.025888752845779888
T-N(㎎/L),0.7737583043328785,0.6832071998763832,0.38629207012877903,1.0,0.47432540926767974,0.9972312611242632,0.4298552042004772,-0.22642593512708042,-0.05218848678172597,0.6182736474055391,0.20346444390943635,-0.10452300426831587
T-P(㎎/L),0.35261642294400525,0.2726630393672143,0.9042728945795512,0.47432540926767974,1.0,0.47743298407022194,0.9763086152561115,-0.11806585542555242,-0.25046035657799115,0.5126898717902485,0.11566642540646817,-0.017994178737166844
Dissolved Total N(㎎/L),0.7703493866913039,0.6925249011280258,0.3838287751744151,0.9972312611242632,0.47743298407022194,1.0,0.4256761210490005,-0.22176855428388473,-0.04942919234613285,0.6205579177749447,0.19652812061094901,-0.11059395975846315
Dissolved Total P(㎎/L),0.2963734038033528,0.2619157931746323,0.9296545191324754,0.4298552042004772,0.9763086152561115,0.4256761210490005,1.0,-0.11321120392457062,-0.23879919272910918,0.44026034501784417,0.10729210742808326,-0.048231665703468485
Hydrogen ion conc.,-0.20159599484928203,-0.1306639257314866,-0.1448684191435616,-0.22642593512708042,-0.11806585542555242,-0.22176855428388473,-0.11321120392457062,1.0,0.29592882162765527,-0.13362275523895178,-0.37252075913301813,0.12786426996774936
DO (㎎/L),-0.10862572902188987,0.08133296207876715,-0.23951858953786706,-0.05218848678172597,-0.25046035657799115,-0.04942919234613285,-0.23879919272910918,0.29592882162765527,1.0,-0.15319979950440007,-0.1670326118185679,-0.037533927583924064
BOD(㎎/L),0.6435343813275316,0.24545842501324758,0.4305632261813423,0.6182736474055391,0.5126898717902485,0.6205579177749447,0.44026034501784417,-0.13362275523895178,-0.15319979950440007,1.0,0.141074704263787,0.18404957778083297
I(pH),0.16714953001095942,0.1458733747437174,0.1362409799304958,0.20346444390943635,0.11566642540646817,0.19652812061094901,0.10729210742808326,-0.37252075913301813,-0.1670326118185679,0.141074704263787,1.0,-0.11846316357721386
TSI(Chl-a),0.012525678799044638,-0.18994205577783568,-0.025888752845779888,-0.10452300426831587,-0.017994178737166844,-0.11059395975846315,-0.048231665703468485,0.12786426996774936,-0.037533927583924064,0.18404957778083297,-0.11846316357721386,1.0
