,Name,val
0,Gayang,[0.09531996]
1,Hongjecheon Stream,[0.11509585]
2,Tancheon Stream 5,[0.09371563]
3,Cheonggyecheon Stream 3,[0.20214045]
4,Cheonggyecheon Stream 2,[0.1468496]
5,Cheonggyecheon Stream 1,[0.19723445]
6,Jungnangcheon Stream 3,[0.14733711]
7,Jungnangcheon Stream 2,[0.19371541]
8,Jungnangcheon Stream 1A,[0.00890329]
9,Jeongneungcheon Stream,[0.22545458]
10,Uicheon Stream,[0.21404746]
11,Jungnangcheon Stream 4,[0.14200805]
12,Amsa,[0.09214581]
13,Ahnyangcheon Stream 5,[0.12441546]
14,Ahnyangcheon Stream 4,[0.10768119]
15,Seongbukcheon Stream,[0.14616102]
16,Seongnaecheon Stream,[0.12174241]
17,Mokgamcheon Stream,[0.09971276]
18,Dorimcheon Stream,[0.14979081]
19,Noryangjin,[0.11900492]
20,GoDeokcheon Stream,[0.11672789]
21,Yangjaecheon Stream,[0.11503546]
22,Yeongdeungpo,[0.12570976]
23,Ttukdo,[0.09349936]
24,Guui,[0.08675186]
25,Bogwang,[0.12071531]
26,Jamsil,[0.09302064]
27,Mangwolcheon Stream,[0.00010832]
28,Choicheon Stream,[0.00018512]
29,Gamicheon Stream,[0.00026813]
30,Mokgamcheon Stream-1,[0.00012616]
31,Ahnyangcheon Stream 3-2,[0.00013922]
