,Name,val
0,Gayang,[0.09567212]
1,Hongjecheon Stream,[0.11268919]
2,Tancheon Stream 5,[0.09921349]
3,Cheonggyecheon Stream 3,[0.20230244]
4,Cheonggyecheon Stream 2,[0.14846954]
5,Cheonggyecheon Stream 1,[0.21574415]
6,Jungnangcheon Stream 3,[0.14688198]
7,Jungnangcheon Stream 2,[0.19606926]
8,Jungnangcheon Stream 1A,[0.01817639]
9,Jeongneungcheon Stream,[0.22969106]
10,Uicheon Stream,[0.20899723]
11,Jungnangcheon Stream 4,[0.14974009]
12,Amsa,[0.09023111]
13,Ahnyangcheon Stream 5,[0.11284839]
14,Ahnyangcheon Stream 4,[0.09613458]
15,Seongbukcheon Stream,[0.13734221]
16,Seongnaecheon Stream,[0.12003598]
17,Mokgamcheon Stream,[0.10012702]
18,Dorimcheon Stream,[0.15225494]
19,Noryangjin,[0.1128123]
20,GoDeokcheon Stream,[0.1123727]
21,Yangjaecheon Stream,[0.11586616]
22,Yeongdeungpo,[0.12770946]
23,Ttukdo,[0.09016101]
24,Guui,[0.09031186]
25,Bogwang,[0.11095252]
26,Jamsil,[0.08858413]
27,Mangwolcheon Stream,[0.00327963]
28,Choicheon Stream,[0.0060903]
29,Gamicheon Stream,[0.00636698]
30,Mokgamcheon Stream-1,[0.00285335]
31,Ahnyangcheon Stream 3-2,[0.00325734]
