,Name,val
0,Gayang,[0.09186842]
1,Hongjecheon Stream,[0.11205484]
2,Tancheon Stream 5,[0.09370195]
3,Cheonggyecheon Stream 3,[0.19186449]
4,Cheonggyecheon Stream 2,[0.14099008]
5,Cheonggyecheon Stream 1,[0.1971544]
6,Jungnangcheon Stream 3,[0.13268565]
7,Jungnangcheon Stream 2,[0.18453951]
8,Jungnangcheon Stream 1A,[0.02032861]
9,Jeongneungcheon Stream,[0.21156646]
10,Uicheon Stream,[0.19486141]
11,Jungnangcheon Stream 4,[0.130478]
12,Amsa,[0.08881966]
13,Ahnyangcheon Stream 5,[0.11321853]
14,Ahnyangcheon Stream 4,[0.0963885]
15,Seongbukcheon Stream,[0.15490937]
16,Seongnaecheon Stream,[0.12665004]
17,Mokgamcheon Stream,[0.09657916]
18,Dorimcheon Stream,[0.17156482]
19,Noryangjin,[0.1018777]
20,GoDeokcheon Stream,[0.11108465]
21,Yangjaecheon Stream,[0.12666227]
22,Yeongdeungpo,[0.12092888]
23,Ttukdo,[0.08239687]
24,Guui,[0.07618573]
25,Bogwang,[0.10416124]
26,Jamsil,[0.0809431]
27,Mangwolcheon Stream,[0.00601846]
28,Choicheon Stream,[0.00435319]
29,Gamicheon Stream,[0.0029759]
30,Mokgamcheon Stream-1,[0.00761708]
31,Ahnyangcheon Stream 3-2,[0.00936104]
