,Name,val
0,Gayang,[0.08862229]
1,Hongjecheon Stream,[0.10940237]
2,Tancheon Stream 5,[0.09694189]
3,Cheonggyecheon Stream 3,[0.19501142]
4,Cheonggyecheon Stream 2,[0.14871606]
5,Cheonggyecheon Stream 1,[0.2036794]
6,Jungnangcheon Stream 3,[0.14459375]
7,Jungnangcheon Stream 2,[0.19398178]
8,Jungnangcheon Stream 1A,[0.00475267]
9,Jeongneungcheon Stream,[0.22155546]
10,Uicheon Stream,[0.19970623]
11,Jungnangcheon Stream 4,[0.13759547]
12,Amsa,[0.09049698]
13,Ahnyangcheon Stream 5,[0.11297463]
14,Ahnyangcheon Stream 4,[0.09602759]
15,Seongbukcheon Stream,[0.15107861]
16,Seongnaecheon Stream,[0.12006044]
17,Mokgamcheon Stream,[0.09504908]
18,Dorimcheon Stream,[0.16458187]
19,Noryangjin,[0.09469538]
20,GoDeokcheon Stream,[0.11886667]
21,Yangjaecheon Stream,[0.12249015]
22,Yeongdeungpo,[0.11545482]
23,Ttukdo,[0.08716743]
24,Guui,[0.08243207]
25,Bogwang,[0.10922215]
26,Jamsil,[0.08667508]
27,Mangwolcheon Stream,[0.00140524]
28,Choicheon Stream,[0.00162103]
29,Gamicheon Stream,[0.00123555]
30,Mokgamcheon Stream-1,[0.00108737]
31,Ahnyangcheon Stream 3-2,[0.00148184]
