,Name,val
0,Gayang,[0.09476145]
1,Hongjecheon Stream,[0.11981504]
2,Tancheon Stream 5,[0.09443953]
3,Cheonggyecheon Stream 3,[0.20375012]
4,Cheonggyecheon Stream 2,[0.14781132]
5,Cheonggyecheon Stream 1,[0.1943008]
6,Jungnangcheon Stream 3,[0.0573885]
7,Jungnangcheon Stream 2,[0.20945781]
8,Jungnangcheon Stream 1A,[0.00192451]
9,Jeongneungcheon Stream,[0.22761327]
10,Uicheon Stream,[0.2131204]
11,Jungnangcheon Stream 4,[0.14199452]
12,Amsa,[0.0873412]
13,Ahnyangcheon Stream 5,[0.13021475]
14,Ahnyangcheon Stream 4,[0.09584217]
15,Seongbukcheon Stream,[0.14557502]
16,Seongnaecheon Stream,[0.05851208]
17,Mokgamcheon Stream,[0.07141103]
18,Dorimcheon Stream,[0.14696479]
19,Noryangjin,[0.11783515]
20,GoDeokcheon Stream,[0.1118767]
21,Yangjaecheon Stream,[0.12168887]
22,Yeongdeungpo,[0.12687995]
23,Ttukdo,[0.08491383]
24,Guui,[0.07295007]
25,Bogwang,[0.11632374]
26,Jamsil,[0.06331311]
27,Mangwolcheon Stream,[0.01159709]
28,Choicheon Stream,[0.00014661]
29,Gamicheon Stream,[1.8868473e-05]
30,Mokgamcheon Stream-1,[0.02077019]
31,Ahnyangcheon Stream 3-2,[0.01192587]
