,Name,val
0,Gayang,[0.09352883]
1,Hongjecheon Stream,[0.1043658]
2,Tancheon Stream 5,[0.10141755]
3,Cheonggyecheon Stream 3,[0.19226639]
4,Cheonggyecheon Stream 2,[0.14605248]
5,Cheonggyecheon Stream 1,[0.20118871]
6,Jungnangcheon Stream 3,[0.14232716]
7,Jungnangcheon Stream 2,[0.19984767]
8,Jungnangcheon Stream 1A,[0.0118058]
9,Jeongneungcheon Stream,[0.22893089]
10,Uicheon Stream,[0.19738634]
11,Jungnangcheon Stream 4,[0.14489035]
12,Amsa,[0.09084643]
13,Ahnyangcheon Stream 5,[0.11361296]
14,Ahnyangcheon Stream 4,[0.09315683]
15,Seongbukcheon Stream,[0.15303904]
16,Seongnaecheon Stream,[0.11817867]
17,Mokgamcheon Stream,[0.09962834]
18,Dorimcheon Stream,[0.16449244]
19,Noryangjin,[0.10817678]
20,GoDeokcheon Stream,[0.12104671]
21,Yangjaecheon Stream,[0.12810856]
22,Yeongdeungpo,[0.11851091]
23,Ttukdo,[0.08764457]
24,Guui,[0.08888913]
25,Bogwang,[0.11375764]
26,Jamsil,[0.08920817]
27,Mangwolcheon Stream,[0.0086189]
28,Choicheon Stream,[0.00912186]
29,Gamicheon Stream,[0.01015647]
30,Mokgamcheon Stream-1,[0.00893222]
31,Ahnyangcheon Stream 3-2,[0.00805027]
