,Name,val
0,Gayang,[0.09749735]
1,Hongjecheon Stream,[0.11195391]
2,Tancheon Stream 5,[0.09833146]
3,Cheonggyecheon Stream 3,[0.18883026]
4,Cheonggyecheon Stream 2,[0.14339346]
5,Cheonggyecheon Stream 1,[0.18914266]
6,Jungnangcheon Stream 3,[0.1371802]
7,Jungnangcheon Stream 2,[0.18852068]
8,Jungnangcheon Stream 1A,[0.01331642]
9,Jeongneungcheon Stream,[0.20547794]
10,Uicheon Stream,[0.19674441]
11,Jungnangcheon Stream 4,[0.1281381]
12,Amsa,[0.09041388]
13,Ahnyangcheon Stream 5,[0.1161313]
14,Ahnyangcheon Stream 4,[0.10137309]
15,Seongbukcheon Stream,[0.15321845]
16,Seongnaecheon Stream,[0.1399964]
17,Mokgamcheon Stream,[0.10653061]
18,Dorimcheon Stream,[0.1690519]
19,Noryangjin,[0.11171915]
20,GoDeokcheon Stream,[0.10961895]
21,Yangjaecheon Stream,[0.12217429]
22,Yeongdeungpo,[0.11470015]
23,Ttukdo,[0.08793893]
24,Guui,[0.08229989]
25,Bogwang,[0.11171985]
26,Jamsil,[0.08794163]
27,Mangwolcheon Stream,[0.0076971]
28,Choicheon Stream,[0.00728612]
29,Gamicheon Stream,[0.00933293]
30,Mokgamcheon Stream-1,[0.00593322]
31,Ahnyangcheon Stream 3-2,[0.00689718]
