,Name,val
0,Gayang,[0.08767545]
1,Hongjecheon Stream,[0.14383972]
2,Tancheon Stream 5,[0.10174059]
3,Cheonggyecheon Stream 3,[0.2065543]
4,Cheonggyecheon Stream 2,[0.2004529]
5,Cheonggyecheon Stream 1,[0.2414497]
6,Jungnangcheon Stream 3,[0.13885611]
7,Jungnangcheon Stream 2,[0.24495982]
8,Jungnangcheon Stream 1A,[2.8485847e-06]
9,Jeongneungcheon Stream,[0.18527283]
10,Uicheon Stream,[0.22111166]
11,Jungnangcheon Stream 4,[0.15061948]
12,Amsa,[0.08919562]
13,Ahnyangcheon Stream 5,[0.10596874]
14,Ahnyangcheon Stream 4,[0.10148586]
15,Seongbukcheon Stream,[0.11660875]
16,Seongnaecheon Stream,[0.14044099]
17,Mokgamcheon Stream,[0.1377095]
18,Dorimcheon Stream,[0.14452335]
19,Noryangjin,[0.08563017]
20,GoDeokcheon Stream,[0.11994368]
21,Yangjaecheon Stream,[0.1016064]
22,Yeongdeungpo,[0.12246264]
23,Ttukdo,[0.10153569]
24,Guui,[0.07853577]
25,Bogwang,[0.1261315]
26,Jamsil,[0.1271714]
27,Mangwolcheon Stream,[4.217891e-06]
28,Choicheon Stream,[3.0245585e-06]
29,Gamicheon Stream,[1.64977e-06]
30,Mokgamcheon Stream-1,[1.4957915e-06]
31,Ahnyangcheon Stream 3-2,[3.898943e-06]
