,Name,val
0,Gayang,[0.08497617]
1,Hongjecheon Stream,[0.10981451]
2,Tancheon Stream 5,[0.10019946]
3,Cheonggyecheon Stream 3,[0.19603597]
4,Cheonggyecheon Stream 2,[0.14466529]
5,Cheonggyecheon Stream 1,[0.19411565]
6,Jungnangcheon Stream 3,[0.15133022]
7,Jungnangcheon Stream 2,[0.20108575]
8,Jungnangcheon Stream 1A,[0.00063003]
9,Jeongneungcheon Stream,[0.23817103]
10,Uicheon Stream,[0.19810979]
11,Jungnangcheon Stream 4,[0.14750104]
12,Amsa,[0.07986264]
13,Ahnyangcheon Stream 5,[0.11011361]
14,Ahnyangcheon Stream 4,[0.1001265]
15,Seongbukcheon Stream,[0.15590124]
16,Seongnaecheon Stream,[0.12363264]
17,Mokgamcheon Stream,[0.09734241]
18,Dorimcheon Stream,[0.16654344]
19,Noryangjin,[0.10345007]
20,GoDeokcheon Stream,[0.12109063]
21,Yangjaecheon Stream,[0.12117381]
22,Yeongdeungpo,[0.11136159]
23,Ttukdo,[0.0915317]
24,Guui,[0.0795662]
25,Bogwang,[0.11159867]
26,Jamsil,[0.08106048]
27,Mangwolcheon Stream,[0.0019698]
28,Choicheon Stream,[0.00252117]
29,Gamicheon Stream,[0.00505323]
30,Mokgamcheon Stream-1,[0.00291361]
31,Ahnyangcheon Stream 3-2,[0.00106718]
