,Name,val
0,Gayang,0.0812
1,GoDeokcheon Stream,0.0809
2,Noryangjin,0.083
3,Dorimcheon Stream,0.091
4,Mokgamcheon Stream,0.069
5,Seongnaecheon Stream,0.083
6,Seongbukcheon Stream,0.107
7,Ahnyangcheon Stream 4,0.08
8,Ahnyangcheon Stream 5,0.09
9,Amsa,0.077
10,Yangjaecheon Stream,0.087
11,Uicheon Stream,0.11548493587830329
12,Jeongneungcheon Stream,0.1200
13,Jungnangcheon Stream 1A,5.64e-08
14,Jungnangcheon Stream 2,0.104
15,Jungnangcheon Stream 3,0.084
16,Jungnangcheon Stream 4,0.075
17,Cheonggyecheon Stream 1,0.11
18,Cheonggyecheon Stream 2,0.09
19,Cheonggyecheon Stream 3,0.12
20,Tancheon Stream 5,0.068
21,Hongjecheon Stream,0.073
22,Guui,0.086
23,Ttukdo,0.077
24,Bogwang,0.085
25,Yeongdeungpo,0.082
26,Jamsil,0.0629
27,Mangwolcheon Stream,0.055
